from,to,weight
1221,2133,1
1221,2143,1
1221,2145,1
1221,2149,1
1221,2151,1
1221,2152,1
1221,2153,1
1221,2163,1
1221,2165,1
1221,2173,1
1221,2181,1
1221,2251,1
1221,2262,1
1221,2269,1
1221,2311,1
1221,2399,1
1221,2412,2
1221,2413,1
1221,2421,1
1221,2422,1
1221,2424,1
1221,2426,1
1221,2431,1
1221,2433,1
1221,2434,1
1221,2512,1
1221,2519,1
1221,2521,1
1221,2523,1
1221,2524,1
1221,2531,1
1221,2542,1
1221,2611,1
1221,2619,1
1221,2821,2
1221,2822,1
1221,2823,1
1221,2831,1
1221,2849,1
1221,2912,1
1221,3132,1
1221,3133,1
1221,3134,1
1221,3135,1
1221,3141,1
1221,3142,1
1221,3143,1
1221,3144,1
1221,3231,1
1221,3311,2
1221,3313,1
1221,3314,1
1221,3315,1
1221,3321,1
1221,3322,1
1221,3712,1
1221,3713,1
1221,3714,1
1221,5222,1
1221,5244,1
1222,1421,2
1222,1511,1
1222,1616,1
1222,1621,1
1222,1622,1
1222,2121,1
1222,2421,1
1222,2423,1
1222,2431,3
1222,2433,1
1222,2511,1
1222,2513,1
1222,2832,1
1222,2849,1
1222,3321,1
1222,3322,1
1222,3344,1
1222,4132,1
1222,5211,1
1222,5221,1
1222,5222,1
1222,5241,1
1222,5242,2
1222,5244,1
1222,5249,1
1222,8322,1
1223,1311,2
1223,1321,3
1223,1322,1
1223,1324,2
1223,1511,1
1223,1623,1
1223,2111,1
1223,2112,1
1223,2114,1
1223,2131,1
1223,2132,1
1223,2133,1
1223,2134,1
1223,2143,1
1223,2145,1
1223,2149,3
1223,2151,1
1223,2152,1
1223,2153,1
1223,2165,1
1223,2173,1
1223,2181,1
1223,2182,3
1223,2251,1
1223,2262,1
1223,2263,4
1223,2269,1
1223,2311,2
1223,2399,1
1223,2411,2
1223,2412,2
1223,2413,1
1223,2421,1
1223,2422,1
1223,2423,2
1223,2424,1
1223,2426,2
1223,2431,1
1223,2434,2
1223,2512,1
1223,2519,2
1223,2521,1
1223,2523,1
1223,2524,1
1223,2531,1
1223,2542,1
1223,2611,1
1223,2619,1
1223,2821,1
1223,2822,1
1223,2823,1
1223,2831,1
1223,2842,1
1223,2849,1
1223,2912,1
1223,3112,1
1223,3122,1
1223,3131,1
1223,3132,2
1223,3133,2
1223,3134,2
1223,3135,2
1223,3141,2
1223,3142,2
1223,3143,1
1223,3144,1
1223,3231,1
1223,3311,1
1223,3313,1
1223,3314,1
1223,3315,1
1223,3712,1
1223,3713,1
1223,3714,1
1223,4415,1
1223,7511,1
1223,7515,1
1311,1312,3
1311,1321,3
1311,1324,3
1311,1411,1
1311,1412,1
1311,1612,1
1311,2182,2
1311,2262,1
1311,2263,2
1311,2311,1
1311,2411,3
1311,2421,1
1311,2422,1
1311,2423,3
1311,2424,1
1311,2425,2
1311,2434,1
1311,2611,1
1311,2619,1
1311,2711,1
1311,2712,1
1311,2911,1
1311,2914,1
1311,3122,3
1311,3123,1
1311,3129,1
1311,3142,3
1311,3143,1
1311,3144,1
1311,3213,1
1311,3332,1
1311,3333,1
1311,3341,2
1311,3343,1
1311,3622,1
1311,3633,1
1311,3634,1
1311,3641,1
1311,3711,1
1311,4222,1
1311,4226,1
1311,4312,2
1311,4313,1
1311,4321,1
1311,4323,1
1311,4415,1
1311,4419,2
1311,5121,1
1311,5222,1
1311,5223,1
1311,5415,1
1311,6111,2
1311,7511,1
1311,7515,1
1312,1321,1
1312,1411,1
1312,1612,1
1312,2311,1
1312,2411,1
1312,2421,1
1312,2422,1
1312,2423,1
1312,2424,1
1312,2425,2
1312,2434,1
1312,2611,1
1312,2619,1
1312,2711,1
1312,2712,1
1312,2911,1
1312,2914,1
1312,3122,1
1312,3123,1
1312,3129,1
1312,3142,1
1312,3143,1
1312,3144,1
1312,3332,1
1312,3333,1
1312,3341,2
1312,3343,1
1312,3622,1
1312,3633,1
1312,3634,1
1312,3641,1
1312,3711,1
1312,4222,1
1312,4226,1
1312,4312,2
1312,4313,1
1312,4323,1
1312,4419,2
1312,5222,1
1312,5415,1
1312,6111,2
1321,1322,1
1321,1323,1
1321,1324,2
1321,1612,2
1321,1613,1
1321,1614,1
1321,2134,1
1321,2141,1
1321,2142,1
1321,2143,1
1321,2144,1
1321,2145,1
1321,2146,1
1321,2149,2
1321,2151,1
1321,2152,1
1321,2161,1
1321,2162,1
1321,2182,3
1321,2263,3
1321,2371,1
1321,2381,1
1321,2391,1
1321,2392,1
1321,2399,1
1321,2411,3
1321,2423,2
1321,2424,1
1321,2425,1
1321,2433,1
1321,2611,1
1321,2825,1
1321,2826,1
1321,2842,1
1321,3122,1
1321,3142,1
1321,3341,1
1321,4312,1
1321,4313,1
1321,4415,1
1321,4419,1
1321,5413,1
1321,5414,1
1321,6111,1
1321,7511,1
1321,7515,2
1321,7516,1
1321,7611,1
1321,7633,1
1322,1323,2
1322,1511,1
1322,1623,1
1322,2141,1
1322,2142,1
1322,2144,1
1322,2145,1
1322,2146,1
1322,2149,1
1322,2151,1
1322,2152,1
1322,2161,2
1322,2162,2
1322,2183,1
1322,2263,1
