"","code","skills","skill_type"
"3556",8183,"Machine Operation","specific_skills"
"3557",8183,"Work Safety","specific_skills"
"3558",8189,"Coordination","basic_skills"
"3559",8189,"Reading Comprehension","basic_skills"
"3560",8189,"Teamwork","basic_skills"
"3561",8189,"Installation","specific_skills"
"3562",8189,"Machine Operation","specific_skills"
"3563",8189,"Work Safety","specific_skills"
"3564",8211,"Coordination","basic_skills"
"3565",8211,"Reading Comprehension","basic_skills"
"3566",8211,"Teamwork","basic_skills"
"3567",8211,"Installation","specific_skills"
"3568",8211,"Work Safety","specific_skills"
"3569",8212,"Coordination","basic_skills"
"3570",8212,"Reading Comprehension","basic_skills"
"3571",8212,"Active Learning","basic_skills"
"3572",8212,"Equipment Maintenance","specific_skills"
"3573",8212,"Electrical Wiring","specific_skills"
"3574",8213,"Coordination","basic_skills"
"3575",8213,"Reading Comprehension","basic_skills"
"3576",8213,"Active Learning","basic_skills"
"3577",8213,"Equipment Maintenance","specific_skills"
"3578",8213,"Installation","specific_skills"
"3579",8219,"Coordination","basic_skills"
"3580",8219,"Reading Comprehension","basic_skills"
"3581",8219,"Active Learning","basic_skills"
"3582",8219,"Installation","specific_skills"
"3583",8219,"Equipment Maintenance","specific_skills"
"3584",8221,"Coordination","basic_skills"
"3585",8221,"Reading Comprehension","basic_skills"
"3586",8221,"Active Learning","basic_skills"
"3587",8221,"Equipment Maintenance","specific_skills"
"3588",8221,"Machine Operation","specific_skills"
"3589",8311,"Time Management","basic_skills"
"3590",8311,"Reading Comprehension","basic_skills"
"3591",8311,"Problem Solving","basic_skills"
"3592",8311,"Vehicle Maintenance","specific_skills"
"3593",8312,"Time Management","basic_skills"
"3594",8312,"Reading Comprehension","basic_skills"
"3595",8312,"Problem Solving","basic_skills"
"3596",8312,"Vehicle Maintenance","specific_skills"
"3597",8321,"Time Management","basic_skills"
"3598",8321,"Reading Comprehension","basic_skills"
"3599",8321,"Problem Solving","basic_skills"
"3600",8321,"Vehicle Maintenance","specific_skills"
"3601",8322,"Time Management","basic_skills"
"3602",8322,"Service Orientation","basic_skills"
"3603",8322,"Vehicle Maintenance","specific_skills"
"3604",8322,"Digital Advertising","specific_skills"
"3605",8331,"Service Orientation","basic_skills"
"3606",8331,"Active Listening","basic_skills"
"3607",8331,"Time Management","basic_skills"
"3608",8331,"Commercial Driving","specific_skills"
"3609",8331,"Vehicle Maintenance","specific_skills"
"3610",8332,"Active Listening","basic_skills"
"3611",8332,"Time Management","basic_skills"
"3612",8332,"Commercial Driving","specific_skills"
"3613",8332,"Vehicle Maintenance","specific_skills"
"3614",8341,"Active Listening","basic_skills"
"3615",8341,"Time Management","basic_skills"
"3616",8341,"Commercial Driving","specific_skills"
"3617",8341,"Vehicle Maintenance","specific_skills"
"3618",8342,"Active Listening","basic_skills"
"3619",8342,"Time Management","basic_skills"
"3620",8342,"Commercial Driving","specific_skills"
"3621",8342,"Vehicle Maintenance","specific_skills"
"3622",8343,"Active Listening","basic_skills"
"3623",8343,"Time Management","basic_skills"
"3624",8343,"Commercial Driving","specific_skills"
"3625",8343,"Vehicle Maintenance","specific_skills"
"3626",8344,"Coordination","basic_skills"
"3627",8344,"Time Management","basic_skills"
"3628",8344,"Commercial Driving","specific_skills"
"3629",8344,"Equipment Maintenance","specific_skills"
"3630",8351,"Coordination","basic_skills"
"3631",8351,"Time Management","basic_skills"
"3632",8351,"Operation Monitoring","specific_skills"
"3633",8351,"Mechanical Maintenance","specific_skills"
"3634",9112,"Housekeeping","specific_skills"
"3635",9121,"Laundry","basic_skills"
"3636",9312,"Construction","specific_skills"
"3637",9313,"Active Listening","basic_skills"
"3638",9313,"Construction","specific_skills"
"3639",9333,"Handling And Moving Objects","basic_skills"
"3640",9333,"Warehousing","specific_skills"
"3641",9334,"Handling And Moving Objects","basic_skills"
"3642",9334,"Warehousing","specific_skills"
"3643",9411,"Communication","basic_skills"
"3644",9411,"Cooking","specific_skills"
"3645",9412,"Communication","basic_skills"
"3646",9511,"Service Orientation","basic_skills"
"3647",9521,"Sales","basic_skills"
"3648",9521,"Communication","basic_skills"
"3649",9521,"Service Orientation","basic_skills"
"3650",9611,"Service Orientation","basic_skills"
"3651",9613,"Service Orientation","basic_skills"
"3652",9621,"Active Listening","basic_skills"
"3653",9621,"Service Orientation","basic_skills"
"3654",9621,"Communication","basic_skills"
"3655",9622,"Active Listening","basic_skills"
"3656",9622,"Service Orientation","basic_skills"
"3657",9622,"Communication","basic_skills"
"3658",9623,"Coordination","basic_skills"
"3659",9625,"Service Orientation","basic_skills"
