code,skills,skill_type
4313,Data Entry,specific_skills
4313,Budgeting,specific_skills
4313,Costing Skills,specific_skills
4321,Speaking,basic_skills
4321,Active Listening,basic_skills
4321,Clerical/ Administration,basic_skills
4321,Writing,basic_skills
4321,Mathematics,basic_skills
4321,Warehouse Management,specific_skills
4321,Data Entry,specific_skills
4321,Microsoft Office,specific_skills
4321,Inventory Management,specific_skills
4321,Record Keeping,specific_skills
4322,Speaking,basic_skills
4322,Active Listening,basic_skills
4322,Time Management,basic_skills
4322,Reading Comprehension,basic_skills
4322,Critical Thinking,basic_skills
4322,Clerical/ Administration,basic_skills
4322,Mathematics,basic_skills
4322,Order Management,specific_skills
4322,Record Keeping,specific_skills
4323,Speaking,basic_skills
4323,Active Listening,basic_skills
4323,Critical Thinking,basic_skills
4323,Monitoring,basic_skills
4323,Service Orientation,basic_skills
4323,Clerical/ Administration,basic_skills
4323,Administration Management,specific_skills
4323,Microsoft Office,specific_skills
4323,Record Keeping,specific_skills
4323,Supply Chain Management,specific_skills
4411,Service Orientation,basic_skills
4411,Clerical/ Administration,basic_skills
4411,Reading Comprehension,basic_skills
4411,Coordination,basic_skills
4411,Critical Thinking,basic_skills
4411,Microsoft Office,specific_skills
4411,Customer Experience,specific_skills
4411,Data Entry,specific_skills
4411,Database User Interface And Query Software,specific_skills
4412,Reading Comprehension,basic_skills
4412,Speaking,basic_skills
4412,Time Management,basic_skills
4412,Clerical/ Administration,basic_skills
4412,Microsoft Office,specific_skills
4412,Customer Experience,specific_skills
4412,Data Entry,specific_skills
4413,Reading Comprehension,basic_skills
4413,Speaking,basic_skills
4413,Time Management,basic_skills
4413,Clerical/ Administration,basic_skills
4413,Microsoft Office,specific_skills
4413,Customer Experience,specific_skills
4413,Data Entry,specific_skills
4413,Proofreading,specific_skills
4414,Reading Comprehension,basic_skills
4414,Speaking,basic_skills
4414,Time Management,basic_skills
4414,Clerical/ Administration,basic_skills
4414,Microsoft Office,specific_skills
4414,Customer Experience,specific_skills
4414,Proofreading,specific_skills
4415,Monitoring,basic_skills
4415,Reading Comprehension,basic_skills
4415,Active Listening,basic_skills
4415,Service Orientation,basic_skills
4415,Clerical/ Administration,basic_skills
4415,Microsoft Office,specific_skills
4415,Document Management,specific_skills
4415,Data Management,specific_skills
4415,Halal Compliance,specific_skills
4416,Reading Comprehension,basic_skills
4416,Active Listening,basic_skills
4416,Speaking,basic_skills
4416,Writing,basic_skills
4416,Critical Thinking,basic_skills
4416,Clerical/ Administration,basic_skills
4416,Microsoft Office,specific_skills
4416,Document Management,specific_skills
4416,Record Keeping,specific_skills
4416,Data Management,specific_skills
4419,Speaking,basic_skills
4419,Active Listening,basic_skills
4419,Coordination,basic_skills
4419,Monitoring,basic_skills
4419,Social Perceptivenesss,basic_skills
4419,Administration Management,specific_skills
4419,Budgeting,specific_skills
4419,Costing Skills,specific_skills
4419,Data Entry,specific_skills
4419,Reading Comprehension,basic_skills
4419,Writing,basic_skills
4419,Clerical/ Administration,basic_skills
4419,Critical Thinking,basic_skills
4419,Decision Making,basic_skills
4419,Service Orientation,basic_skills
5111,Service Orientation,basic_skills
5111,Active Listening,basic_skills
5111,Social Perceptivenesss,basic_skills
5111,Speaking,basic_skills
5111,Monitoring,basic_skills
5111,Food Preparation,specific_skills
5111,Occupational Safety And Health,specific_skills
5111,Customer Experience,specific_skills
5112,Active Listening,basic_skills
5112,Critical Thinking,basic_skills
5112,Service Orientation,basic_skills
5113,Active Listening,basic_skills
5113,Speaking,basic_skills
5113,Service Orientation,basic_skills
5113,Coordination,basic_skills
5113,Persuasion,basic_skills
5113,Microsoft Office,specific_skills
5121,Active Listening,basic_skills
5121,Service Orientation,basic_skills
5121,Cooking,specific_skills
5121,Food Preparation,specific_skills
5121,Inventory Management,specific_skills
5121,Team Management,specific_skills
5121,Monitoring,basic_skills
5121,Coordination,basic_skills
5121,Critical Thinking,basic_skills
5121,Speaking,basic_skills
5121,Social Perceptivenesss,basic_skills
5131,Active Listening,basic_skills
5131,Service Orientation,basic_skills
5131,Speaking,basic_skills
5131,Social Perceptivenesss,basic_skills
5131,Coordination,basic_skills
5131,Food Preparation,specific_skills
