from,to,weight
2434,2173,1
2434,2311,2
2434,2391,1
2434,2611,2
2434,2822,1
2434,2824,1
2434,2849,1
2511,1214,1
2511,1511,3
2511,2121,1
2512,1111,1
2512,1511,3
2512,2111,1
2512,2114,1
2512,2131,1
2512,2173,1
2512,2311,1
2512,2422,1
2512,3514,1
2513,1214,1
2513,1222,1
2513,1511,3
2513,2152,1
2513,2153,1
2513,2381,1
2513,2519,3
2513,2521,2
2513,2523,2
2514,1511,3
2514,2381,1
2514,2521,3
2519,1111,1
2519,1112,1
2519,1221,1
2519,1223,2
2519,1511,1
2519,1623,1
2519,2111,2
2519,2113,1
2519,2114,1
2519,2131,1
2519,2133,1
2519,2151,1
2519,2152,2
2519,2165,1
2519,2173,1
2519,2182,1
2519,2251,1
2519,2269,1
2519,2311,2
2519,2399,1
2519,2611,1
2519,2822,1
2519,2849,1
2521,1111,1
2521,1112,1
2521,1221,1
2521,1223,1
2521,1511,3
2521,2111,1
2521,2114,1
2521,2131,1
2521,2133,2
2521,2143,1
2521,2145,1
2521,2151,1
2521,2152,1
2521,2173,1
2521,2183,1
2521,2251,1
2521,2262,1
2521,2311,1
2521,2381,1
2521,2426,1
2521,2611,1
2521,2619,1
2521,2822,1
2521,2824,1
2521,2849,1
2522,1511,3
2523,1111,1
2523,1112,1
2523,1221,1
2523,1223,1
2523,1511,2
2523,2111,1
2523,2114,1
2523,2131,1
2523,2133,1
2523,2151,1
2523,2152,2
2523,2153,1
2523,2173,1
2523,2251,1
2523,2269,1
2523,2311,1
2523,2611,1
2523,2619,1
2523,2822,1
2523,2849,1
2611,1111,6
2611,2173,1
2611,2612,1
2612,1111,1
2619,1111,2
2619,1112,2
2619,1214,1
2619,2111,1
2619,2114,1
2619,2131,2
2619,2133,1
2619,2152,1
2619,2173,1
2619,2263,1
2619,2311,3
2619,2331,1
2619,2341,1
2619,2611,2
2619,2822,1
2619,2849,1
2619,2915,1
2711,1111,1
2711,1112,1
2711,1121,1
2711,1411,1
2711,2131,1
2711,2311,2
2711,2331,1
2711,2341,1
2711,2611,1
2711,2911,1
2711,2915,1
2711,2916,1
2712,1111,1
2712,1112,1
2712,1113,1
2712,1121,2
2712,1312,1
2712,2111,1
2712,2149,1
2712,2611,1
2712,3622,1
2712,3634,1
2712,3641,3
2712,5415,1
2712,7514,2
2811,2131,1
2811,2262,1
